,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
318,2468700,1,27.0,12,24,"Усть-Славянка тер., улица Заводская",Рыбацкое,15000
319,2450060,1,25.0,1,12,"проспект Ветеранов, 173к7",Проспект Ветеранов,15000
320,2419000,1,18.0,2,5,"улица Блохина, 4",Спортивная,1000
321,2407000,1,18.0,2,5,"Социалистическая улица, 3",Звенигородская,1000
322,7353000,1,49.0,7,13,"набережная Реки Смоленки, 3к1",Василеостровская,10000
323,22300000,3,145.0,1,5,"Нижне-Каменская улица, 7к1",Комендантский проспект,5000
324,2750000,1,27.0,14,25,"Комендантский проспект, 64к1",Комендантский проспект,10000
325,2760120,1,21.0,5,7,"набережная Реки Каменки, 11к2",Озерки,20000
326,2764280,1,24.0,15,21,"Полевая Сабировская улица, 45к1",Старая Деревня,2000
327,2793980,1,22.0,16,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
328,2757600,1,31.0,19,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
329,2795000,1,24.0,4,13,"проспект Ветеранов, 169к3",Проспект Ветеранов,23000
330,2750000,1,27.0,20,25,"улица Русановская, 19к2",Ломоносовская,15000
331,2750000,1,30.0,7,12,"проспект Ветеранов, 169к1",Проспект Ветеранов,15000
332,2750000,1,22.0,16,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
333,5426659,1,40.0,18,23,"улица Дыбенко, 8к2",Улица Дыбенко,2000
334,40000000,1,172.0,5,9,"Вязовая улица, 10",Крестовский остров,500
335,2795000,1,24.0,4,13,"проспект Ветеранов, 169к3",Проспект Ветеранов,23000
336,2750000,1,27.0,20,25,"улица Русановская, 19к2",Ломоносовская,15000
337,2750000,1,30.0,7,12,"проспект Ветеранов, 169к1",Проспект Ветеранов,15000
338,2750000,1,22.0,16,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
339,2770000,1,27.0,8,12,"проспект Ветеранов, 169к1",Проспект Ветеранов,15000
340,2835000,1,30.0,4,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
341,2809310,1,27.0,2,15,"Пулковское шоссе, 30",Московская,8000
342,2824530,1,34.0,8,9,"Славянка тер., улица Ростовская",Купчино,20000
