,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway,longitude,latitude
125,3500000,2,47.0,2,9, улМориса Тореза103 ,Спортивная,500.0,50.201469,53.196957
126,3350000,2,54.5,7,10," Самарская область, Самара, Промышленный район, Ново-Вокзальный тупик, 13 ",Безымянка,700.0,50.24431,53.21833
127,4100000,2,63.0,7,13," Самарская область, Самара, Октябрьский район, Мичурина улица, 149 ",Российская,400.0,50.170747,53.217419
128,3100000,1,54.5,10,24," Самара, Калужская улица ",Российская,1400.0,50.170001,53.215909
129,1490000,1,30.0,1,9," жилой район Южный Город— 2, Волжский район, Самарская область, Губернаторская улица, 9 ",Гагаринская,12100.0,50.160677,53.091704
130,2600000,1,42.0,12,24," Московское ш./пер. Тупой/пр. К. Маркса, 1 очередь, Секции 5−8 ",Спортивная,2000.0,50.193573,53.218034
131,3050000,3,59.0,3,5," Самара, улица Аэропорт 2, 11А ",Юнгородок,7700.0,50.379138,53.252263
132,3650000,2,60.0,4,16," Самара, Промышленный район, Кирова проспект, 415а ",Юнгородок,7700.0,50.218654,53.258319
133,2200000,1,42.0,7,10," поселок Мехзавод, Самара, 1-й квартал, 39 ",Юнгородок,10600.0,50.286369,53.308235
134,1180000,1,21.0,4,9," жилой район Южный Город— 2, Волжский район, Самарская область, улица Кирилла иМефодия, 1, подъезд 5 ",Гагаринская,11700.0,50.1633,53.095371
135,6599000,3,92.0,3,23," Самара, Печерская улица, 29 ",Гагаринская,600.0,50.183961,53.203419
136,6850000,3,115.0,5,10," улНово-Вокзальная, 164 ",Безымянка,4700.0,50.204353,53.245415
137,2450000,1,39.4,23,27, стр.6 ,Безымянка,4700.0,50.101783,53.195538
138,5300000,3,101.0,4,10," Московское (23 км) шоссе, п. Мехзавод, 1 квартал, д.35. ",Юнгородок,10800.0,50.286827,53.309537
139,15000000,5,173.6,5,6," Самара, Садовая улица, 227 ",Алабинская,1800.0,50.112922,53.198602
140,1650000,1,35.0,8,9," Самара, Щигровский переулок, 12 ",Юнгородок,600.0,50.284276,53.207329
141,2455000,1,57.0,18,18," Россия, Самарская область, Самара, Аэродромная ул, 98а ",Спортивная,900.0,50.206275,53.194438
142,3250000,1,43.0,11,26," Самара, улица Георгия Димитрова, 108 ",Безымянка,5500.0,50.223757,53.260328
143,3300000,3,72.0,4,5," улСвободы, 145 ",Кировская,1600.0,50.267495,53.225463
144,2230000,1,42.9,9,26," Московское ш., стр.1 ",Московская,400.0,50.143357,53.202718
145,2550000,2,50.0,3,3," Самара, Красноглинский район, улица Евгения Золотухина, д.40 ",Московская,400.0,50.313031,53.318936
146,3500000,3,69.0,5,5," Самара, Ново-Садовая улица, 333 ",Безымянка,4900.0,50.207865,53.24958
