url,adress,coordinates,salary
https://spb.hh.ru/vacancy/30696246,"Проспект Большевиков, Санкт-Петербург, улица Джона Рида, 2к2","59.920745, 30.447148",16
https://spb.hh.ru/vacancy/28413552,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",16
https://spb.hh.ru/vacancy/28413527,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",16
https://spb.hh.ru/vacancy/30576063,"Санкт-Петербург, Девяткино, деревня Новое Девяткино","60.058026, 30.469579",16
https://spb.hh.ru/vacancy/29140493,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30723310,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30727663,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30312650,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30727858,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30348178,"Санкт-Петербург, Чернышевская, ","59.944436, 30.359975",16
https://spb.hh.ru/vacancy/30648315,"Спортивная, Санкт-Петербург, Биржевой переулок, 4а","59.944508, 30.2935",16
https://spb.hh.ru/vacancy/30402970,"Балтийская, Санкт-Петербург, Рижский проспект, 41","59.915282, 30.273971",17
https://spb.hh.ru/vacancy/30724366,"Василеостровская, Санкт-Петербург, 10-я линия Васильевского острова, 59","59.947338, 30.267395",17
https://spb.hh.ru/vacancy/29871087,"Комендантский проспект, Санкт-Петербург, Долгоозёрная улица, 14к2","60.016789, 30.246096",17
https://spb.hh.ru/vacancy/27969697,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",17
https://spb.hh.ru/vacancy/30563525,"Ленинский проспект, Санкт-Петербург, Трамвайный проспект, 32","59.854779, 30.283906",17
https://spb.hh.ru/vacancy/30464640,"Международная, Санкт-Петербург, проспект Славы, 43","59.858042, 30.390608",17
https://spb.hh.ru/vacancy/30692049,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская","59.901111, 30.275004",17
https://spb.hh.ru/vacancy/28670884,"Обухово, Санкт-Петербург, проспект Обуховской Обороны, 295БД","59.844013, 30.470675",17
https://spb.hh.ru/vacancy/30297895,"Пролетарская, Санкт-Петербург, улица Бабушкина, 123","59.860979, 30.465483",17
https://spb.hh.ru/vacancy/30352345,"Санкт-Петербург, Звёздная, ","59.834298, 30.35737",17
https://spb.hh.ru/vacancy/29783949,"Санкт-Петербург, Кировский завод, ","59.879638, 30.26196",17
https://spb.hh.ru/vacancy/27002869,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",17
https://spb.hh.ru/vacancy/30156243,"Адмиралтейская, Санкт-Петербург, Большая Морская, 39","59.932901, 30.309239",18
https://spb.hh.ru/vacancy/30202620,"Василеостровская, Санкт-Петербург, Косая линия, 15в","59.924718, 30.253812",18
https://spb.hh.ru/vacancy/30763834,"Кировский завод, Санкт-Петербург, Стачек, 47","59.880518, 30.260406",18
https://spb.hh.ru/vacancy/30750503,"Международная, Санкт-Петербург, Софийская улица, 38к2","59.873189, 30.411054",18
https://spb.hh.ru/vacancy/30519280,"Международная, Санкт-Петербург, Софийская улица, 38к2","59.873189, 30.411054",18
https://spb.hh.ru/vacancy/30480906,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская","59.901111, 30.275004",18
https://spb.hh.ru/vacancy/30416280,"Новочеркасская, Санкт-Петербург, 4 линия, метро Новочеркасская","59.928911, 30.411476",18
https://spb.hh.ru/vacancy/30446333,"Новочеркасская, Санкт-Петербург, Дальневосточный проспект, 1к3","59.917105, 30.42116",18
https://spb.hh.ru/vacancy/30697031,"Озерки, Санкт-Петербург, проспект Луначарского, 45","60.036524, 30.358942",18
https://spb.hh.ru/vacancy/30687891,"Парк Победы, Санкт-Петербург, улица Ленсовета, 4","59.860066, 30.329909",18
https://spb.hh.ru/vacancy/30305038,"Парк Победы, Санкт-Петербург, улица Ленсовета, 4","59.860066, 30.329909",18
https://spb.hh.ru/vacancy/23257232,"Парнас, Санкт-Петербург, 4-й Верхний переулок, 1А","60.072027, 30.340698",18
https://spb.hh.ru/vacancy/30517482,"Площадь Ленина, Санкт-Петербург, Большой Сампсониевский проспект, 4-6","59.957354, 30.343914",18
https://spb.hh.ru/vacancy/29914957,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 116","59.86443, 30.472292",18
https://spb.hh.ru/vacancy/30564441,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 116","59.86443, 30.472292",18
https://spb.hh.ru/vacancy/27496073,"Проспект Большевиков, Санкт-Петербург, проспект Пятилеток, 2","59.919581, 30.465186",18
https://spb.hh.ru/vacancy/30770430,"Проспект Большевиков, Санкт-Петербург, проспект Пятилеток, 8к1","59.921809, 30.459392",18
https://spb.hh.ru/vacancy/30407187,"Санкт-Петербург, Московская, ","59.946856, 30.424924",18
https://spb.hh.ru/vacancy/30136774,"Санкт-Петербург, Проспект Ветеранов, ","59.832995, 30.191407",18
https://spb.hh.ru/vacancy/30155660,"Санкт-Петербург, Проспект Просвещения, ","60.045736, 30.369183",18
https://spb.hh.ru/vacancy/30712492,"Санкт-Петербург, Проспект Просвещения, ","60.045736, 30.369183",18
https://spb.hh.ru/vacancy/30713256,"Удельная, Санкт-Петербург, проспект Тореза, 102к4","60.019001, 30.329819",18
https://spb.hh.ru/vacancy/30340337,"Электросила, Санкт-Петербург, улица Решетникова, 15","59.878798, 30.329963",18
https://spb.hh.ru/vacancy/30353940,"Балтийская, Санкт-Петербург, наб. Обводного канала, 134-136-138, литер А, корпус 71","59.915833, 30.353112",19
https://spb.hh.ru/vacancy/29788185,"Беговая, Санкт-Петербург, улица Савушкина, 126","59.987407, 30.204342",19
https://spb.hh.ru/vacancy/30489508,"Беговая, Санкт-Петербург, улица Савушкина, 141","59.990899, 30.20578",19
https://spb.hh.ru/vacancy/29787932,"Василеостровская, Санкт-Петербург, Большой проспект В.О., 68","59.932008, 30.260235",19
https://spb.hh.ru/vacancy/30457298,"Василеостровская, Санкт-Петербург, Косая линия, 16","59.927621, 30.258232",19
https://spb.hh.ru/vacancy/29977769,"Василеостровская, Санкт-Петербург, Косая линия, 16","59.927621, 30.258232",19
https://spb.hh.ru/vacancy/28500388,"Василеостровская, Санкт-Петербург, Средний проспект В.О., 36/40","59.942101, 30.27592",19
https://spb.hh.ru/vacancy/28183334,"Василеостровская, Санкт-Петербург, Средний проспект Васильевского острова, 39","59.942318, 30.275138",19
https://spb.hh.ru/vacancy/30668800,"Волковская, Санкт-Петербург, 5 линия, метро Волковская","59.895976, 30.358026",19
